Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1206.1775.txt;53;10183;10183;1536;970
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1206.3431.txt;91;15264;15264;2642;1685
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1206.3862.txt;30;6293;6293;518;329
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1206.4627.txt;27;4776;4776;1013;682
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1206.4656.txt;24;3981;3981;1371;947
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1206.4809.txt;83;16726;16726;1566;976
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1206.5336.txt;28;5488;5488;926;562
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1208.0713.txt;68;14998;14998;1280;804
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1208.3124.txt;74;14120;14120;1539;941
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1208.3251.txt;42;7363;7363;1384;870
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1208.6408.txt;29;4892;4892;995;584
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1209.0521.txt;27;4741;4741;1014;619
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1209.0735.txt;19;3555;3555;1009;678
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1209.1711.txt;29;4936;4936;1460;973
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1209.5527.txt;44;8180;8180;1249;799
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1209.5785.txt;47;8168;8168;1301;760
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1209.6626.txt;12;2221;2221;598;392
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1210.2246.txt;15;2601;2601;617;386
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1210.2440.txt;28;5538;5538;1035;665
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1210.2540.txt;17;3737;3737;499;302
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1210.4663.txt;55;10098;10098;1385;841
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1210.4959.txt;40;7621;7621;1015;586
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1210.5065.txt;39;8824;8824;763;445
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1210.7341.txt;21;3651;3651;883;549
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1210.7638.txt;44;8308;8308;1042;640
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1211.0071.txt;5;879;879;404;267
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1211.0589.txt;60;12312;12312;1423;888
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1211.0729.txt;57;10137;10137;1438;824
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1211.0877.txt;57;11049;11049;1346;796
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1211.2384.txt;45;9741;9741;942;600
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1211.2662.txt;66;14504;14504;1097;705
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1211.3234.txt;31;5142;5142;1065;685
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1211.4892.txt;23;4014;4014;1033;653
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1211.5608.txt;57;11735;11735;1581;971
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1211.5773.txt;12;2166;2166;397;238
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1211.6468.txt;27;4800;4800;1188;755
